Time series;Closing price;MA;Trend;Trading signal
138;216.42;243.76399999999973;down;0.0
139;221.51;242.26599999999974;down;0.0
140;227.59;241.03999999999982;down;0.5
141;221.86;238.95333333333312;down;0.0
142;223.14;236.9099999999998;down;0.1059322033898299
143;222.89;234.87266666666645;down;0.0
144;224.07;232.44399999999985;down;0.0
145;234.13;230.99733333333322;no;0.26401869158878566
146;233.0;229.56733333333318;no;0.23774509803921634
147;235.14;228.9706666666665;no;0.5
148;231.06;228.13933333333316;no;0.5
149;226.28;227.57333333333318;no;0.5
150;219.49;226.3833333333332;no;0.0
151;226.01;225.69733333333318;no;0.5
152;225.11;225.8466666666665;no;0.0
153;225.49;226.4513333333332;no;0.0
154;235.75;227.4006666666665;no;0.5
155;231.96;227.69199999999984;no;0.0
156;233.9;228.4946666666665;no;0.0
157;239.18;229.56399999999985;no;0.5
158;237.93;230.5666666666665;up;1.0
159;234.37;231.25333333333316;up;0.8259943181818188
160;229.78;230.96333333333317;no;0.0
161;236.82;231.21799999999985;no;0.0
162;243.16;231.75266666666644;no;0.5
163;241.4;232.44199999999984;no;0.5
164;239.08;233.29533333333316;no;0.01739130434782872
165;239.0;234.5959999999998;up;0.7386363636363626
166;241.3;235.61533333333315;up;1.0
167;236.9;236.40133333333316;up;0.5
168;236.95;237.16533333333308;no;0.4440789473684162
169;237.12;237.25666666666646;no;0.5
170;235.6;237.49933333333308;no;0.44094488188976155
171;236.05;237.64266666666646;no;0.5
172;232.24;237.17999999999972;no;0.13033175355450421
173;231.69;236.76399999999973;no;0.0
174;233.8;236.7259999999998;no;0.0
175;235.49;237.10666666666646;no;0.0
176;238.99;237.25133333333318;no;0.324873096446701
177;237.71;236.88799999999983;no;0.2654761904761916
178;239.68;236.77333333333317;no;0.5
179;235.48;236.53333333333322;no;0.08045977011493427
180;236.21;236.34733333333315;no;0.3883928571428576
181;235.34;235.94999999999985;no;0.0
182;236.46;235.92066666666645;no;0.5
183;236.02;235.8586666666665;no;0.5
184;232.07;235.52199999999985;no;0.5
185;229.08;235.08733333333322;no;0.5
186;223.67;234.26199999999986;no;0.0
187;224.78;233.7646666666665;no;0.43978102189780816
188;225.11;233.32599999999985;down;0.5
189;222.37;232.56399999999985;down;0.0
190;224.49;231.83066666666645;down;0.5
191;224.36;230.85533333333316;down;0.14285714285714285
192;222.86;229.86533333333315;down;0.0
193;228.11;229.09399999999985;down;0.15151515151515588
194;229.49;228.69466666666648;no;0.5
195;227.51;228.1146666666665;no;0.0
196;229.01;227.6926666666665;no;0.0
197;229.61;227.23599999999985;no;0.0
198;231.51;226.9353333333332;no;0.0
199;231.77;226.9153333333332;no;0.0
200;235.92;227.37133333333315;no;0.0
201;248.75;229.04333333333318;no;0.5
202;245.78;230.44333333333321;no;0.2526766595289085
203;248.09;231.9753333333332;up;1.0
204;243.42;233.37866666666648;up;0.5189393939393876
205;244.69;234.7253333333332;up;0.6774193548387089
206;243.37;235.99266666666645;up;0.5
207;247.09;237.6079999999998;up;1.0
208;243.78;238.65266666666645;up;1.0
209;240.69;239.39933333333317;up;0.5
210;241.65;240.3419999999998;up;0.5
211;243.2;241.2879999999998;up;0.5
212;251.17;242.72533333333317;up;0.6517379679144375
213;248.9;243.88466666666645;up;0.5
214;256.38;245.52533333333312;up;0.5
215;264.13;247.4059999999998;up;1.0
216;257.07;247.96066666666644;up;1.0
217;254.69;248.55466666666646;up;0.5
218;255.86;249.07266666666646;up;0.5
219;260.74;250.22733333333318;up;0.5
220;270.33;251.93666666666644;up;1.0
221;269.47;253.67666666666645;up;1.0
222;266.18;254.9493333333331;up;0.5
223;269.39;256.6566666666664;up;0.5
224;269.65;258.5873333333331;up;0.5
225;286.61;261.5846666666664;up;0.5
226;292.02;264.8393333333331;up;0.5005482456140345
227;310.24;268.7773333333331;up;1.0
228;292.0;271.65066666666644;up;1.0
229;287.96;273.7559999999997;up;1.0
230;285.55;275.1839999999997;up;1.0
231;277.23;276.52799999999974;up;0.592592592592593
232;279.43;278.1773333333332;up;1.0
233;276.73;279.5686666666665;no;0.27578475336323055
234;275.5;280.55266666666654;no;0.0
235;277.73;281.04599999999994;no;0.43103448275862405
236;276.48;281.5133333333332;no;0.0
237;277.93;282.2966666666665;no;0.047404063205417395
238;276.67;282.78199999999987;no;0.0
239;289.96;284.1359999999998;no;0.08857142857142922
240;289.34;284.31799999999987;no;0.0
241;292.84;284.3726666666665;no;0.0
242;294.27;283.30799999999994;no;0.5
243;293.84;283.43066666666664;no;0.5
244;289.63;283.54200000000003;no;0.5
245;287.73;283.68733333333324;no;0.5
246;284.39;284.1646666666666;up;1.0
247;280.77;284.254;no;0.0
248;281.5;284.572;no;0.0
249;282.72;285.05333333333334;no;0.137218045112787
250;284.65;285.51466666666664;no;0.5
251;281.99;285.88199999999995;no;0.5
252;281.99;286.1526666666666;no;0.5
253;279.01;286.3086666666666;no;0.5
254;261.71;284.4253333333333;no;0.0
255;265.36;282.82666666666665;no;0.09082892416225985
256;264.33;280.92599999999993;no;0.0
257;270.0;279.30799999999994;down;0.5
258;268.51;277.61933333333326;down;0.5
259;264.65;275.95399999999995;down;0.38675213675213665
260;265.71;274.486;down;0.5
261;261.03;272.92866666666663;down;0.5
262;256.09;271.28333333333325;down;0.47326454033770876
263;256.66;269.62733333333324;down;0.5
264;246.0;267.17933333333326;down;0.5
265;227.1;263.3426666666666;down;0.0
266;235.95;260.2733333333333;down;0.5
267;233.27;257.0253333333333;down;0.5
268;230.47;253.78933333333333;down;0.5
269;228.47;251.5733333333333;down;0.5
270;211.79;248.002;down;0.0
271;221.64;245.156;down;0.0
272;225.17;242.1673333333333;down;0.08262967430639188
273;223.8;239.18666666666667;down;0.0
274;232.09;237.016;down;0.5
275;229.23;234.584;down;0.283687943262406
276;228.43;232.41066666666663;down;0.17808219178082235
277;229.84;230.66066666666663;down;0.5
278;227.65;228.72666666666663;down;0.21717171717171863
279;228.77;227.578;no;0.2302325581395364
280;226.79;227.55733333333333;no;0.0
281;231.09;227.23333333333335;no;0.0
282;235.45;227.37866666666667;no;0.0
283;240.45;228.044;no;0.04209183673469198
284;240.12;228.82066666666668;no;0.1776315789473686
285;244.04;230.9706666666667;up;1.0
286;237.96;232.05866666666668;up;0.5
287;238.5;232.94733333333335;up;0.8337182448036948
288;239.94;234.02333333333337;up;1.0
289;235.61;234.25799999999998;up;1.0
290;230.17;234.32066666666668;no;0.5
291;229.51;234.39266666666668;no;0.5
292;229.3;234.35666666666668;no;0.15795206971677733
293;227.85;234.37000000000003;no;0.0
294;232.44;234.61466666666672;no;0.4266409266409276
295;232.82;235.01666666666677;no;0.5
296;230.23;234.95933333333335;no;0.4931192660550456
